site,code,date,nox,no2,no,o3,so2,pm10,pm2.5,v10,v2.5,nv10,nv2.5,ws,wd,air_temp
London Bloomsbury,CLL2,2018-01-01 00:00:00,18.52634,14.63439,2.53827,59.81291,NA,11.4,9,0,1.9,11.4,11.6,5.6,262.7,5.7
London Bloomsbury,CLL2,2018-01-01 01:00:00,20.19538,17.29712,1.8902,53.63033,NA,8.9,7.2,-1.4,1.4,10.3,10.3,5.1,257.7,5.3
London Bloomsbury,CLL2,2018-01-01 02:00:00,20.27883,17.54618,1.78219,54.45707,NA,6.9,6,0.5,4.9,6.4,5.6,4.9,253.6,5.1
London Bloomsbury,CLL2,2018-01-01 03:00:00,18.65152,17.2852,0.89109,57.53039,NA,5.6,1.5,1.6,2.7,4,3.3,4.8,250.4,5
London Bloomsbury,CLL2,2018-01-01 04:00:00,14.33288,12.90445,0.9316,60.8733,NA,1.4,4.9,0.7,6.2,0.7,3.2,5.2,251.3,5.2
London Bloomsbury,CLL2,2018-01-01 05:00:00,10.89049,10.08311,0.52656,62.27516,NA,5.6,4.4,0.8,5.6,4.8,3.3,5.2,250.7,5.3
London Bloomsbury,CLL2,2018-01-01 06:00:00,11.82932,11.08405,0.48605,60.8733,NA,9.7,3.1,0.4,2.9,9.3,4.7,4.3,249.3,5.3
London Bloomsbury,CLL2,2018-01-01 07:00:00,20.21624,18.91203,0.85059,53.6483,NA,9.6,7.6,-0.4,5.2,10,6.9,2.7,242,4.7
London Bloomsbury,CLL2,2018-01-01 08:00:00,27.35139,25.55033,1.17462,45.88413,NA,15.1,5.2,0.8,2.8,14.3,6.9,2.3,225.4,3.8
London Bloomsbury,CLL2,2018-01-01 09:00:00,37.5534,32.77126,3.11883,41.46286,NA,19.3,7.4,1.3,3.2,18,8.7,2.1,195.2,4
London Bloomsbury,CLL2,2018-01-01 10:00:00,50.57191,42.8708,5.02253,32.29682,NA,19.9,7.5,0.9,1.8,19,10.2,1.5,220,5.1
London Bloomsbury,CLL2,2018-01-01 11:00:00,37.92893,33.33311,2.99732,39.52181,NA,10.8,8.9,-3.2,3.9,14,9.5,1.1,229.6,5.6
London Bloomsbury,CLL2,2018-01-01 12:00:00,45.18925,35.12813,6.56169,38.2817,NA,9.6,7.6,0.1,3.5,9.5,8.6,1.9,265.8,6.5
London Bloomsbury,CLL2,2018-01-01 13:00:00,118.41837,67.30541,33.33501,25.07182,NA,9.8,6.4,-0.7,2.3,10.5,8.6,3.3,279.9,7.3
London Bloomsbury,CLL2,2018-01-01 14:00:00,143.14103,78.48903,42.16494,23.61604,NA,5.9,4.8,0.3,2.8,5.6,6.5,3.6,288.1,7
London Bloomsbury,CLL2,2018-01-01 15:00:00,127.74413,72.90483,35.76526,22.21417,NA,5.2,4.2,-1.1,2.8,6.3,5.9,4.5,280.2,5.9
London Bloomsbury,CLL2,2018-01-01 16:00:00,157.97462,82.76465,49.05066,13.42556,NA,7.3,4.1,-1.5,1.5,8.8,7.1,5.1,268.8,5.7
London Bloomsbury,CLL2,2018-01-01 17:00:00,74.23055,51.31355,14.94607,25.07182,NA,9.6,6.4,-1.2,1.2,10.8,9.7,5.8,278.9,5.7
