site,code,date,nox,no2,no,o3,pm2.5,v2.5,nv2.5,ws,wd,air_temp
London Eltham,LON6,2018-01-01 00:00:00,5.86699,3.36825,1.62964,67.40477,15,3.1,11.9,5.7,265.9,5.8
London Eltham,LON6,2018-01-01 01:00:00,NA,NA,NA,64.36133,11,2,9,5,260.6,5.4
London Eltham,LON6,2018-01-01 02:00:00,5.51295,3.99344,0.991,66.75617,4.7,2.6,2.1,4.7,257.4,5.2
London Eltham,LON6,2018-01-01 03:00:00,4.65313,2.77907,1.22223,68.25294,2.8,2.6,0.2,4.6,253.2,5
London Eltham,LON6,2018-01-01 04:00:00,2.93349,1.16074,1.15616,69.89939,1.7,0.2,1.5,4.9,254.1,5.2
London Eltham,LON6,2018-01-01 05:00:00,3.03465,1.46449,1.02403,69.60004,5.1,2.8,2.3,4.7,253.1,5.3
London Eltham,LON6,2018-01-01 06:00:00,5.56352,3.03102,1.65166,65.65853,7.3,3,4.3,3.4,251.3,5
London Eltham,LON6,2018-01-01 07:00:00,5.91757,4.04351,1.22223,64.66068,5.7,2.5,3.2,1.8,228,3.5
London Eltham,LON6,2018-01-01 08:00:00,7.28316,4.64935,1.71773,62.11616,4.6,1.6,3,1.8,186.2,3
London Eltham,LON6,2018-01-01 09:00:00,11.93629,8.99858,1.91593,52.5368,6,2.6,3.4,2.1,172.7,3.5
London Eltham,LON6,2018-01-01 10:00:00,15.88133,12.33582,2.31232,46.44992,8.4,2.1,6.3,1.2,194.5,4.7
London Eltham,LON6,2018-01-01 11:00:00,17.65155,15.22034,1.58559,40.16346,7.2,0.9,6.3,1.1,198.2,5.4
London Eltham,LON6,2018-01-01 12:00:00,22.05179,17.89847,2.70872,42.5583,4.8,0.2,4.6,1.3,252.3,6.2
London Eltham,LON6,2018-01-01 13:00:00,21.59659,18.35498,2.11412,39.914,5.5,1.3,4.2,2.7,276.4,7
London Eltham,LON6,2018-01-01 14:00:00,20.12984,17.49603,1.71773,45.15271,7.9,2.4,5.5,3.2,283.7,6.8
London Eltham,LON6,2018-01-01 15:00:00,14.81921,13.401,0.92493,51.83831,5.3,0.4,4.9,4,279.3,5.8
London Eltham,LON6,2018-01-01 16:00:00,18.41021,16.33355,1.35436,44.85336,7.1,0.6,6.5,5.1,271.6,5.7
London Eltham,LON6,2018-01-01 17:00:00,24.7324,21.49078,2.11412,39.2654,9.8,0.9,8.9,5.4,277.5,5.6
London Eltham,LON6,2018-01-01 18:00:00,24.53009,20.93392,2.34536,37.9183,11.8,0.8,11,6,286,5.7
London Eltham,LON6,2018-01-01 19:00:00,13.7065,11.93374,1.15616,51.08992,11.5,1.9,9.6,6.2,281.5,5.5
