site,code,date,nox,no2,no,o3,pm10,pm2.5,ws,wd,air_temp
London Harlington,HRL,2018-01-01 00:00:00,2.81082,1.65901,0.75119,74.24004,6.863,4.501,7.5,258.3,5.1
London Harlington,HRL,2018-01-01 01:00:00,NA,NA,NA,71.51258,5.237,3.245,7.5,254.4,4.8
London Harlington,HRL,2018-01-01 02:00:00,6.21623,5.24439,0.63382,75.38757,3.661,1.98,7.3,249.3,4.6
London Harlington,HRL,2018-01-01 03:00:00,6.4865,5.46067,0.66903,72.99273,3.096,1.822,7.9,247.3,4.5
London Harlington,HRL,2018-01-01 04:00:00,6.75677,5.56897,0.77467,72.24434,3.417,2.003,8.2,246.2,4.6
London Harlington,HRL,2018-01-01 05:00:00,12.43246,11.40663,0.66903,65.55875,6.473,3.236,8.2,245.1,4.7
London Harlington,HRL,2018-01-01 06:00:00,25.08114,23.13746,1.26764,53.53465,9.737,5.137,7.8,242.9,4.9
London Harlington,HRL,2018-01-01 07:00:00,56.43257,48.92781,4.89448,29.98539,13.243,6.599,6.8,237.9,4.9
London Harlington,HRL,2018-01-01 08:00:00,63.56772,53.20143,6.76072,23.89851,17.483,7.922,5.6,235.3,4.8
London Harlington,HRL,2018-01-01 09:00:00,117.89217,73.34952,29.04996,12.87227,20.515,8.962,4.7,233.5,5.2
London Harlington,HRL,2018-01-01 10:00:00,74.64883,52.13454,14.68344,24.19786,21.348,9.322,3.2,226.9,5.9
London Harlington,HRL,2018-01-01 11:00:00,98.91916,64.95876,22.1484,16.6142,16.418,8.255,1.6,239.4,5.9
London Harlington,HRL,2018-01-01 12:00:00,60.10825,44.01891,10.4932,32.82927,11.117,6.299,2.6,288.7,6.2
London Harlington,HRL,2018-01-01 13:00:00,18.81086,14.49157,2.81697,54.5824,8.099,4.63,5.2,299.7,7.4
London Harlington,HRL,2018-01-01 14:00:00,18.70275,14.54543,2.71133,57.32648,5.176,2.768,6,292.4,6.8
London Harlington,HRL,2018-01-01 15:00:00,16.64869,13.5712,2.00709,58.47401,4.453,2.639,5.8,271.9,5.8
London Harlington,HRL,2018-01-01 16:00:00,18.59464,16.75894,1.19721,55.43057,4.93,2.953,6.9,270.8,5.3
London Harlington,HRL,2018-01-01 17:00:00,21.40546,19.46178,1.26764,48.94454,6.586,3.904,9.5,282.4,5.3
London Harlington,HRL,2018-01-01 18:00:00,18.59464,17.51482,0.70424,52.03788,6.128,3.835,8.1,278.2,5
London Harlington,HRL,2018-01-01 19:00:00,11.78381,10.32605,0.95073,63.26369,5.309,3.339,8.2,282.4,4.9
London Harlington,HRL,2018-01-01 20:00:00,9.51354,7.46188,1.33806,68.5523,5.113,3.059,9.6,285.5,5.1
London Harlington,HRL,2018-01-01 21:00:00,8.75678,7.13705,1.05636,68.70197,5.421,3.117,9.3,288.1,4.9
London Harlington,HRL,2018-01-01 22:00:00,8.00002,6.48827,0.98594,68.10326,5.912,3.315,8.7,288.1,4.8
London Harlington,HRL,2018-01-01 23:00:00,7.40542,5.89367,0.98594,67.80391,6.016,3.526,7.6,286.4,4.6
London Harlington,HRL,2018-01-02 00:00:00,11.13094,9.25427,1.22394,62.13279,5.935,3.177,6.7,279,4.1
London Harlington,HRL,2018-01-02 01:00:00,NA,NA,NA,57.07702,6.25,3.225,6,276.2,3.6
London Harlington,HRL,2018-01-02 02:00:00,12.19706,10.62715,1.02387,52.5867,8.716,4.712,5.4,275.2,3.2
London Harlington,HRL,2018-01-02 03:00:00,17.88901,16.21083,1.09448,44.80347,11.953,5.87,4.9,269.9,2.8
London Harlington,HRL,2018-01-02 04:00:00,15.55802,14.31292,0.81203,47.29809,13.318,6.482,4.2,260.8,2.4
London Harlington,HRL,2018-01-02 05:00:00,39.62688,36.32465,2.15366,24.34754,14.548,7.144,3.1,241.5,1.9
London Harlington,HRL,2018-01-02 06:00:00,61.03949,53.40648,4.97812,12.97205,17.893,8.25,2.9,204.5,1.4
London Harlington,HRL,2018-01-02 07:00:00,106.792,69.76377,24.14918,4.39054,17.355,8.513,3.2,198.3,2.2
London Harlington,HRL,2018-01-02 08:00:00,116.49543,71.02217,29.65689,3.69205,17.445,8.256,2.9,183.7,2.5
London Harlington,HRL,2018-01-02 09:00:00,124.51838,73.73991,33.11686,6.33635,17.278,8.195,3.8,201.1,4.3
London Harlington,HRL,2018-01-02 10:00:00,156.17652,80.55015,49.32223,6.93506,15.36,8.709,5.6,200.1,5.8
