site,code,date,co,nox,no2,no,o3,so2,pm10,pm2.5,v10,v2.5,nv10,nv2.5,ws,wd,air_temp
London Marylebone Road,MY1,2018-01-01 00:00:00,0.298901,187.41204,79.0596,70.66562,24.48059,4.92942,24.6,12.7,-0.6,-1.8,25.2,14.5,5.5,263.3,5.5
London Marylebone Road,MY1,2018-01-01 01:00:00,0.261539,310.94823,97.05587,139.49697,13.9699,6.75514,18.7,11.6,0.9,0.2,17.8,11.4,5,256.4,5.1
London Marylebone Road,MY1,2018-01-01 02:00:00,0.308242,273.99098,101.07355,112.7738,18.21076,6.43564,17.2,7.6,2,1.5,15.2,6.1,4.8,251,4.9
London Marylebone Road,MY1,2018-01-01 03:00:00,0.224176,211.24045,81.56557,84.57176,24.84647,5.5456,10.8,2.3,-0.2,-2,11,4.3,4.8,246.8,4.7
London Marylebone Road,MY1,2018-01-01 04:00:00,0.252198,175.87295,59.85638,75.66403,29.03744,5.06635,12.4,4.8,1.7,1.2,10.7,3.6,5.3,248.4,4.9
London Marylebone Road,MY1,2018-01-01 05:00:00,0.112088,134.8788,51.55781,54.34053,35.62325,3.90246,12.6,2.7,1.7,0.7,10.9,2,5.3,248,5
London Marylebone Road,MY1,2018-01-01 06:00:00,0.196154,196.50399,79.5382,76.2831,25.79442,4.65557,21,8.4,2.3,2.5,18.7,5.9,4.4,245.8,5
London Marylebone Road,MY1,2018-01-01 07:00:00,0.112088,189.05538,72.98608,75.69843,24.79657,5.13482,21.7,4.6,2.5,1.2,19.2,3.4,3,239.5,4.6
London Marylebone Road,MY1,2018-01-01 08:00:00,0.14011,225.81615,86.85994,90.62488,17.26281,5.81946,21.9,8,2.8,3.1,19.1,4.9,2.6,232.9,4.2
London Marylebone Road,MY1,2018-01-01 09:00:00,0.224176,321.89787,103.41757,142.48914,5.68775,7.12028,26,8.9,1.6,2.4,24.4,6.5,1.6,211.2,3.7
