site,code,date,nox,no2,no,o3,pm2.5,ws,wd,air_temp
London Marylebone Road,MY1,2018-01-01 00:00:00,219.74531264142246,81.94828181530926,89.86888264947706,20.680072958142414,10.36861892509133,4.594288390621824,258.0533682046858,5.187445266353178
London Marylebone Road,MY1,2018-01-01 01:00:00,221.0954457432297,81.97532013673741,90.73178255768516,20.623364962228084,10.2514725785463,4.602090253556072,257.6955706611573,5.21989823141341
London Marylebone Road,MY1,2018-01-01 02:00:00,222.4301626703531,82.04684543749505,91.55561461734693,20.582776943920592,10.169084065793921,4.6130623908488,257.37016730489455,5.255796049520687
London Marylebone Road,MY1,2018-01-01 03:00:00,222.4838802732524,81.65415436404666,91.84675485626923,20.745120373511686,10.01418679142363,4.630636273858962,257.1058881120645,5.300847958613273
London Marylebone Road,MY1,2018-01-01 04:00:00,221.59326294220497,81.13068199044025,91.60730926084345,20.959724896759337,9.813301397959721,4.661510538501314,256.90635901197464,5.350748442894856
London Marylebone Road,MY1,2018-01-01 05:00:00,220.90158720877855,80.57285679770176,91.52001418361087,21.14571029564368,9.61729422266475,4.710596603082342,256.86622970082664,5.407452583934443
London Marylebone Road,MY1,2018-01-01 06:00:00,220.27538804152624,80.10981830768146,91.41360357491344,21.29042731508435,9.448049915387367,4.762101196050333,256.93865004167014,5.467963561153372
London Marylebone Road,MY1,2018-01-01 07:00:00,220.41034458847477,79.79870569401766,91.70452230868383,21.4221659741714,9.31968243051803,4.810980098548628,257.01924456127597,5.528307013188469
London Marylebone Road,MY1,2018-01-01 08:00:00,220.74120127195033,79.53082958060202,92.09500569867183,21.57650470053954,9.170091418947155,4.859732976035022,257.1165128336322,5.588385541677044
London Marylebone Road,MY1,2018-01-01 09:00:00,221.3600323518524,79.30312213748697,92.64710373529003,21.71306496734326,9.052860886339072,4.908277675107943,257.19535452148654,5.6469141657854065
London Marylebone Road,MY1,2018-01-01 10:00:00,220.60752255215436,78.84856565885292,92.45278362833824,21.86296621492308,8.957734869796624,4.957723012605958,257.30201741643685,5.7062782137629755
