site,code,date,co,nox,no2,no,o3,so2,pm10,pm2.5,ws,wd,air_temp
London N. Kensington,KC1,2018-01-01 00:00:00,0.114872,8.32519,8.11153,0.13935,70.9804,NA,12.425,8.892,5.5,263.3,5.5
London N. Kensington,KC1,2018-01-01 01:00:00,0.111043,8.89934,8.54325,0.23224,67.52118,2.40953,7.375,4.363,5,256.4,5.1
London N. Kensington,KC1,2018-01-01 02:00:00,0.112,9.41967,8.99235,0.27869,69.69982,2.49812,5.625,3.137,4.8,251,4.9
London N. Kensington,KC1,2018-01-01 03:00:00,0.100512,9.36584,8.93852,0.27869,70.4981,2.12606,3.2,1.792,4.8,246.8,4.7
London N. Kensington,KC1,2018-01-01 04:00:00,0.091897,7.21277,6.9457,0.17418,71.74542,2.39181,3.875,2.146,5.3,248.4,4.9
London N. Kensington,KC1,2018-01-01 05:00:00,0.100512,7.64339,7.26948,0.24386,70.4981,2.28551,5.05,2.618,5.3,248,5
London N. Kensington,KC1,2018-01-01 06:00:00,0.103384,10.17324,10.013,0.10451,67.15531,2.23236,9.4,4.575,4.4,245.8,5
London N. Kensington,KC1,2018-01-01 07:00:00,0.09764,12.97223,12.43808,0.34836,65.30928,2.23236,12.4,6.109,3,239.5,4.6
London N. Kensington,KC1,2018-01-01 08:00:00,0.109127,22.71486,21.91363,0.52255,53.38498,2.12606,15.375,7.052,2.6,232.9,4.2
London N. Kensington,KC1,2018-01-01 09:00:00,0.155076,35.47178,33.3886,1.35862,43.50626,2.33866,18.025,8.373,1.6,211.2,3.7
London N. Kensington,KC1,2018-01-01 10:00:00,0.163691,37.78633,35.06217,1.77665,43.40648,2.71072,20.225,9.151,1.6,233.8,5.4
London N. Kensington,KC1,2018-01-01 11:00:00,0.169435,37.84015,34.7955,1.98567,42.25895,2.92333,16.525,7.948,1.1,227.3,5.7
London N. Kensington,KC1,2018-01-01 12:00:00,0.186665,29.81998,27.62997,1.42829,47.8968,2.60442,11.25,6.297,2.2,280.1,6.3
London N. Kensington,KC1,2018-01-01 13:00:00,0.155076,28.0437,25.05246,1.95083,55.63014,2.76387,9.325,5.259,3.6,291.1,7.4
London N. Kensington,KC1,2018-01-01 14:00:00,0.126359,23.14547,20.84863,1.49796,57.57595,2.28551,3.2,1.981,4.1,292.1,6.9
London N. Kensington,KC1,2018-01-01 15:00:00,0.126359,24.27583,21.44484,1.84633,51.83831,2.33866,4.525,2.736,4.4,275.3,5.9
London N. Kensington,KC1,2018-01-01 16:00:00,0.134974,23.03782,22.34342,0.45287,51.73852,1.9666,5.95,3.42,5,268.8,5.4
London N. Kensington,KC1,2018-01-01 17:00:00,0.169435,36.22535,34.83656,0.90574,38.16776,1.70085,6.975,4.175,6.4,284.6,5.8
London N. Kensington,KC1,2018-01-01 18:00:00,0.163691,35.09499,34.08011,0.66189,43.95529,2.01975,8.6,5.307,6.5,285,5.6
London N. Kensington,KC1,2018-01-01 19:00:00,0.106255,12.7031,12.06212,0.41804,63.91229,2.39181,6.325,3.75,6.3,283.5,5.4
London N. Kensington,KC1,2018-01-01 20:00:00,0.09764,9.63497,9.15424,0.31353,68.75187,1.9666,5.525,3.325,7.3,290.4,5.5
London N. Kensington,KC1,2018-01-01 21:00:00,0.089025,7.32043,6.99994,0.20902,70.09896,1.80715,5.1,2.948,7.1,293.9,5.3
London N. Kensington,KC1,2018-01-01 22:00:00,0.089025,10.92681,10.4995,0.27869,65.70842,1.43509,5.775,3.184,6.3,292.5,5.1
London N. Kensington,KC1,2018-01-01 23:00:00,0.077538,8.39696,8.02306,0.24386,67.45466,1.32879,5.925,3.16,5.5,292,4.9
London N. Kensington,KC1,2018-01-02 00:00:00,0.088057,15.51006,15.01074,0.32564,59.73795,1.13387,6.6,3.585,4.5,282.8,4.6
London N. Kensington,KC1,2018-01-02 01:00:00,0.0804,11.63254,11.41855,0.13956,59.47186,0.92127,6.425,3.443,4.3,280.1,4
London N. Kensington,KC1,2018-01-02 02:00:00,0.089014,14.21755,13.84307,0.24423,52.43702,1.22246,6.775,3.774,4.3,279.7,3.6
London N. Kensington,KC1,2018-01-02 03:00:00,0.109113,16.15631,15.83532,0.20934,50.29164,1.16931,10.55,5.259,4.3,279.3,3.4
London N. Kensington,KC1,2018-01-02 04:00:00,0.114855,21.54175,21.06027,0.31401,43.85551,1.06301,11.55,5.943,4,277.4,3.2
London N. Kensington,KC1,2018-01-02 05:00:00,0.114855,19.65685,19.17536,0.31401,43.15701,1.27561,13.375,6.604,3,260.7,2.5
