site,code,date,nox,no2,no,o3,pm2.5,ws,wd,air_temp
London N. Kensington,KC1,2018-01-01 00:00:00,18.634584457857674,16.68577811913899,1.270981059473565,60.07020906534564,6.872473860818029,4.594288390621824,258.0533682046858,5.187445266353178
London N. Kensington,KC1,2018-01-01 01:00:00,19.1766436367639,17.122873772885132,1.3394364526156814,59.637748848257516,6.795094235877976,4.602090253556072,257.6955706611573,5.21989823141341
London N. Kensington,KC1,2018-01-01 02:00:00,19.723134299512992,17.54821353929831,1.4184490428192436,59.211174289201224,6.7174884671847135,4.6130623908488,257.37016730489455,5.255796049520687
London N. Kensington,KC1,2018-01-01 03:00:00,20.133218551197004,17.84481063003453,1.4924633217918448,58.91301963997942,6.621238583639308,4.630636273858962,257.1058881120645,5.300847958613273
London N. Kensington,KC1,2018-01-01 04:00:00,19.865833194033062,17.74779108685829,1.3813536648712614,58.671554006813906,6.515319539464527,4.661510538501314,256.90635901197464,5.350748442894856
London N. Kensington,KC1,2018-01-01 05:00:00,20.303371885269943,18.04925652610787,1.4700982739819601,58.36411547298968,6.411705387736545,4.710596603082342,256.86622970082664,5.407452583934443
London N. Kensington,KC1,2018-01-01 06:00:00,20.76814528870736,18.37905673164371,1.5581253760672722,58.0199811172842,6.320350449470198,4.762101196050333,256.93865004167014,5.467963561153372
London N. Kensington,KC1,2018-01-01 07:00:00,21.20185333337156,18.681667396764333,1.6436247405386943,57.727483396033314,6.232421365641573,4.810980098548628,257.01924456127597,5.528307013188469
London N. Kensington,KC1,2018-01-01 08:00:00,21.59449115378241,18.94836535654803,1.7257604394439092,57.49239073426318,6.134761011518097,4.859732976035022,257.1165128336322,5.588385541677044
London N. Kensington,KC1,2018-01-01 09:00:00,21.975451448518196,19.203344864999586,1.8079229104826908,57.32511098190917,6.053771887950936,4.908277675107943,257.19535452148654,5.6469141657854065
London N. Kensington,KC1,2018-01-01 10:00:00,22.330789881844247,19.435543537908703,1.8882325383192857,57.17201475771344,5.97444512237273,4.957723012605958,257.30201741643685,5.7062782137629755
London N. Kensington,KC1,2018-01-01 11:00:00,22.65992578345655,19.646403872959002,1.9653697901270595,57.01275683087574,5.912737688421544,5.007889436764801,257.4158742391498,5.765093612528792
London N. Kensington,KC1,2018-01-01 12:00:00,23.062692685985212,19.938268225869592,2.037698469727076,56.80968100364185,5.884393592710299,5.0574115072337715,257.50239972618397,5.813755528413856
London N. Kensington,KC1,2018-01-01 13:00:00,23.566339739388148,20.331515545635913,2.109699208972156,56.4431423269893,5.9318092397995965,5.112163615696571,257.64646511690376,5.868441914155396
London N. Kensington,KC1,2018-01-01 14:00:00,24.066951758108793,20.724228250108826,2.1800691751283194,56.09288901132895,6.008401884275222,5.164435877151025,257.7855299909887,5.915466013051137
London N. Kensington,KC1,2018-01-01 15:00:00,24.545268850013745,21.098356930775893,2.248019007687808,55.77668442481473,6.096332678927262,5.210701115760059,257.81322788328816,5.9505848136453405
London N. Kensington,KC1,2018-01-01 16:00:00,24.964111862129958,21.418052864656698,2.31268092704533,55.58122205479927,6.181110337944881,5.270330764837971,257.99252827508366,5.98303201949804
London N. Kensington,KC1,2018-01-01 17:00:00,25.23175084930547,21.592807701831983,2.373258415675111,55.5685633477922,6.2653738098323,5.330157412691209,258.67292105303727,6.015374204507491
